target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
7,base2,return,S008,Educational (文教科研区),2.1666666666666665,2.598076211353316,0.4208446766412172,0.2916666666666667,0.025210084033613446,0.21104835376773662
7,base2,combined,S008,Educational (文教科研区),1.8958333333333333,2.2958295523259853,0.43036541204458595,0.3125,0.03556485355648536,0.1811081526562698
7,model,borrow,S008,Educational (文教科研区),1.625,2.169869427715256,0.3560816286366011,0.5416666666666666,0.0125,0.17088607594936708
7,model,return,S008,Educational (文教科研区),2.0416666666666665,2.7913557040740375,0.45161393763544294,0.4166666666666667,0.004201680672268907,0.20526704405611618
7,model,combined,S008,Educational (文教科研区),1.8333333333333333,2.5,0.4038477831360221,0.4791666666666667,0.0041841004184100415,0.18670229598115395
7,base1,borrow,S009,Commercial/Transit (商业与交通枢纽区),1.625,2.03100960115899,0.48774280381736523,0.3333333333333333,0.017045454545454544,0.2203529710512951
7,base1,return,S009,Commercial/Transit (商业与交通枢纽区),2.7083333333333335,3.3478849044334447,0.6514278669337653,0.08333333333333333,0.07894736842105263,0.34796992481203004
7,base1,combined,S009,Commercial/Transit (商业与交通枢纽区),2.1666666666666665,2.7688746209726918,0.5695853353755652,0.20833333333333334,0.03278688524590164,0.28915439473927945
7,base2,borrow,S009,Commercial/Transit (商业与交通枢纽区),1.4583333333333333,2.091650066335189,0.5469791733607523,0.375,0.08522727272727272,0.21845002823263693
7,base2,return,S009,Commercial/Transit (商业与交通枢纽区),1.5,2.0816659994661326,0.3278859211437621,0.3333333333333333,0.1368421052631579,0.1645699614890886
7,base2,combined,S009,Commercial/Transit (商业与交通枢纽区),1.4791666666666667,2.0866640042581523,0.4374325472522571,0.3541666666666667,0.11202185792349727,0.19374527112232032
7,model,borrow,S009,Commercial/Transit (商业与交通枢纽区),1.5833333333333333,2.0207259421636903,0.4806746830979287,0.2916666666666667,0.011363636363636364,0.218521421107628
7,model,return,S009,Commercial/Transit (商业与交通枢纽区),2.4166666666666665,2.972092416687835,0.6223863627410209,0.125,0.09473684210526316,0.3085679314565483
7,model,combined,S009,Commercial/Transit (商业与交通枢纽区),2.0,2.5413251136628174,0.5515305229194749,0.20833333333333334,0.0546448087431694,0.26955999873653624
7,base1,borrow,S010,Recreational/Public (休闲与公共设施区),1.9166666666666667,2.516611478423583,0.45722959369057375,0.2916666666666667,0.011235955056179775,0.2598314606741573
7,base1,return,S010,Recreational/Public (休闲与公共设施区),2.0833333333333335,2.6299556396765835,0.5123012073423188,0.25,0.02072538860103627,0.2635633412835485
7,base1,combined,S010,Recreational/Public (休闲与公共设施区),2.0,2.57390753524675,0.4847654005164463,0.2708333333333333,0.016172506738544475,0.261551526788022
7,base2,borrow,S010,Recreational/Public (休闲与公共设施区),2.125,2.8939592256975564,0.6288250792417459,0.16666666666666666,0.1853932584269663,0.22084463386284386
7,base2,return,S010,Recreational/Public (休闲与公共设施区),2.5,3.391164991562634,0.4809925459435263,0.16666666666666666,0.25906735751295334,0.18210804739302147
7,base2,combined,S010,Recreational/Public (休闲与公共设施区),2.3125,3.152380053229623,0.554908812592636,0.16666666666666666,0.22371967654986524,0.20196915244085056
7,model,borrow,S010,Recreational/Public (休闲与公共设施区),1.875,2.3717082451262845,0.44504050679350304,0.20833333333333334,0.05056179775280899,0.24114088159031977
7,model,return,S010,Recreational/Public (休闲与公共设施区),1.875,2.57390753524675,0.49550989136313534,0.2916666666666667,0.06735751295336788,0.24663212435233162
7,model,combined,S010,Recreational/Public (休闲与公共设施区),1.875,2.4748737341529163,0.4702751990783192,0.25,0.05929919137466307,0.2420778659087574
7,base1,borrow,S011,Recreational/Public (休闲与公共设施区),1.875,2.336307628146031,0.5716532728498994,0.25,0.09444444444444444,0.22154540327129157
7,base1,return,S011,Recreational/Public (休闲与公共设施区),2.0416666666666665,2.850438562747845,0.5116954025853082,0.375,0.016483516483516484,0.2772423107618639
7,base1,combined,S011,Recreational/Public (休闲与公共设施区),1.9583333333333333,2.6060826285186485,0.5416743377176038,0.3125,0.03867403314917127,0.2532914070765252
7,base2,borrow,S011,Recreational/Public (休闲与公共设施区),2.125,2.865018906278514,0.5674973265659541,0.20833333333333334,0.19444444444444445,0.24291187739463602
7,base2,return,S011,Recreational/Public (休闲与公共设施区),1.875,2.3892118644719083,0.5288860757978404,0.25,0.21428571428571427,0.16683316683316685
7,base2,combined,S011,Recreational/Public (休闲与公共设施区),2.0,2.6378652985574025,0.5481917011818972,0.22916666666666666,0.20441988950276244,0.20361418047882135
7,model,borrow,S011,Recreational/Public (休闲与公共设施区),1.625,2.01038968030247,0.547794673797312,0.25,0.03888888888888889,0.20855614973262032
7,model,return,S011,Recreational/Public (休闲与公共设施区),1.8333333333333333,2.449489742783178,0.5006924514083068,0.375,0.07692307692307693,0.24084249084249085
7,model,combined,S011,Recreational/Public (休闲与公共设施区),1.7291666666666667,2.2407216099581255,0.5242435626028094,0.3125,0.019337016574585635,0.2336938759629601
7,base1,borrow,S012,Commercial/Transit (商业与交通枢纽区),1.9583333333333333,2.3540744819709225,0.49834823233427245,0.20833333333333334,0.00546448087431694,0.25707079805440464
7,base1,return,S012,Commercial/Transit (商业与交通枢纽区),1.7916666666666667,2.318404623873926,0.5608831045454468,0.4166666666666667,0.015384615384615385,0.22580128205128205
7,base1,combined,S012,Commercial/Transit (商业与交通枢纽区),1.875,2.336307628146031,0.5296156684398596,0.3125,0.010582010582010581,0.24018900489488723
7,base2,borrow,S012,Commercial/Transit (商业与交通枢纽区),1.5833333333333333,1.9364916731037085,0.49350784302350853,0.16666666666666666,0.12021857923497267,0.14669246173166345
7,base2,return,S012,Commercial/Transit (商业与交通枢纽区),2.0416666666666665,2.508319490548735,0.49610824938682496,0.125,0.15897435897435896,0.19418386491557224
7,base2,combined,S012,Commercial/Transit (商业与交通枢纽区),1.8125,2.2407216099581255,0.4948080462051667,0.14583333333333334,0.1402116402116402,0.16916564916564913
7,model,borrow,S012,Commercial/Transit (商业与交通枢纽区),1.6666666666666667,2.0615528128088303,0.47327365018161166,0.20833333333333334,0.04371584699453552,0.21882903981264637
7,model,return,S012,Commercial/Transit (商业与交通枢纽区),1.8333333333333333,2.309401076758503,0.5665762943737868,0.3333333333333333,0.05128205128205128,0.22702702702702704
7,model,combined,S012,Commercial/Transit (商业与交通枢纽区),1.75,2.188987589427283,0.5199249722776992,0.2708333333333333,0.047619047619047616,0.223015873015873
7,base1,borrow,S013,Commercial/Transit (商业与交通枢纽区),1.4166666666666667,1.8708286933869707,0.4208886956948528,0.3333333333333333,0.07692307692307693,0.19963369963369962
7,base1,return,S013,Commercial/Transit (商业与交通枢纽区),1.7083333333333333,2.207940216581962,0.4795337530160521,0.25,0.05172413793103448,0.23874128509515735
7,base1,combined,S013,Commercial/Transit (商业与交通枢纽区),1.5625,2.0463381929681126,0.4502112243554525,0.2916666666666667,0.014044943820224719,0.21407535452479276
7,base2,borrow,S013,Commercial/Transit (商业与交通枢纽区),1.4583333333333333,2.03100960115899,0.37733428183140827,0.375,0.11538461538461539,0.17964644051600576
7,base2,return,S013,Commercial/Transit (商业与交通枢纽区),1.3333333333333333,1.6583123951777,0.6097190748046145,0.20833333333333334,0.05747126436781609,0.18601065320998034
7,base2,combined,S013,Commercial/Transit (商业与交通枢纽区),1.3958333333333333,1.8540496217739157,0.4935266783180114,0.2916666666666667,0.08707865168539326,0.18205704407951598
7,model,borrow,S013,Commercial/Transit (商业与交通枢纽区),1.3333333333333333,1.6832508230603465,0.4066136872402004,0.375,0.08791208791208792,0.15556732424202305
7,model,return,S013,Commercial/Transit (商业与交通枢纽区),1.5416666666666667,1.9895560643855537,0.46442402318412057,0.375,0.040229885057471264,0.21997840858576237
7,model,combined,S013,Commercial/Transit (商业与交通枢纽区),1.4375,1.8427786989579984,0.43551885521216044,0.375,0.025280898876404494,0.19097885568111905
7,base1,borrow,S014,Recreational/Public (休闲与公共设施区),1.9583333333333333,2.8357832545289257,0.4834036021407022,0.375,0.0797872340425532,0.25154595954302483
7,base1,return,S014,Recreational/Public (休闲与公共设施区),2.25,2.8284271247461903,0.4576038322861203,0.25,0.1262135922330097,0.2719525350593312
7,base1,combined,S014,Recreational/Public (休闲与公共设施区),2.1041666666666665,2.832107577994405,0.4705037172134113,0.3125,0.027918781725888325,0.2613749320751216
7,base2,borrow,S014,Recreational/Public (休闲与公共设施区),2.4583333333333335,3.246793289796359,0.6165663151963868,0.16666666666666666,0.22872340425531915,0.24644167278063098
7,base2,return,S014,Recreational/Public (休闲与公共设施区),2.875,3.5059473279937716,0.6203319021622641,0.08333333333333333,0.3058252427184466,0.11494330911806641
