analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S020,Recreational/Public (休闲与公共设施区),1.3402338814650487,1.8451010808056563,0.5922847747827875,0.3333333333333333,0.014805959006540373,0.23725179157246243
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S021,Commercial/Transit (商业与交通枢纽区),1.6432369218119518,2.1726179937330907,0.6465285072699204,0.125,0.04716239316239326,0.2901877100070185
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S021,Commercial/Transit (商业与交通枢纽区),1.694544177263441,2.248236997967128,0.7517954151240905,0.125,0.10290871596104169,0.3080522507146469
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S021,Commercial/Transit (商业与交通枢纽区),1.6688905495376964,2.2107508391631385,0.6991619611970054,0.125,0.07503555456171748,0.29735713752541787
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S022,Recreational/Public (休闲与公共设施区),1.9116893049227013,2.438716362751002,0.65229897635738,0.20833333333333334,0.017717993584135387,0.34453835749112627
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S022,Recreational/Public (休闲与公共设施区),1.637155063724456,2.0960784225078406,0.591265015677488,0.125,0.13062006862446887,0.26402888642752864
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S022,Recreational/Public (休闲与公共设施区),1.7744221843235788,2.2738604015256123,0.6217819960174339,0.16666666666666666,0.0599318945756033,0.31219666277052094
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S023,Recreational/Public (休闲与公共设施区),2.137272296135593,2.5671030013585003,0.7553823562366621,0.25,0.1655856988860943,0.3839866254111378
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S023,Recreational/Public (休闲与公共设施区),2.115511679694064,2.9344212738266022,0.7701978973190083,0.08333333333333333,0.1922075028832365,0.38408658349156455
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S023,Recreational/Public (休闲与公共设施区),2.126391987914828,2.756886471354049,0.7627901267778352,0.16666666666666666,0.17878567670134396,0.38485542561543123
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S024,Commercial/Transit (商业与交通枢纽区),1.5581428326905893,1.8603959595194128,0.5620428824889933,0.20833333333333334,0.14764048829408333,0.2478558232768019
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S024,Commercial/Transit (商业与交通枢纽区),1.6822149849417418,2.2810459494425555,0.6598616010067403,0.16666666666666666,0.09028685289314653,0.2865141601704834
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S024,Commercial/Transit (商业与交通枢纽区),1.6201789088161658,2.081374996206167,0.6109522417478667,0.1875,0.11818862146657524,0.26786237978367755
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S025,Recreational/Public (休闲与公共设施区),2.0191785141694907,2.612329771320934,0.78183695832846,0.25,0.08538845486111124,0.3738852572868884
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S025,Recreational/Public (休闲与公共设施区),1.4945705373486995,1.8361463016578699,0.6012225887903182,0.125,0.07507907167063364,0.23896975432714096
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S025,Recreational/Public (休闲与公共设施区),1.756874525759095,2.257841898276046,0.6915297735593892,0.1875,0.0003887320485852218,0.30667614111762226
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S026,Recreational/Public (休闲与公共设施区),1.4223166387547501,1.9513317435584596,0.6168527353457671,0.20833333333333334,0.0003087692349152492,0.25671701373697214
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S026,Recreational/Public (休闲与公共设施区),1.910713861027897,2.3255632831346063,0.7636315312617654,0.08333333333333333,0.052020253837969224,0.345901453189865
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S026,Recreational/Public (休闲与公共设施区),1.6665152498913234,2.1466182889934937,0.6902421333037663,0.14583333333333334,0.026357464837200004,0.30231803270633995
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S027,Recreational/Public (休闲与公共设施区),1.8243669260407671,2.275210205320024,0.604715891318835,0.08333333333333333,0.20291694838855068,0.33820348304662773
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S027,Recreational/Public (休闲与公共设施区),1.4990332385288356,1.9055146916538384,0.6868609494491004,0.16666666666666666,0.08609208942860723,0.2905740687241144
